	1	2	3	4	5	6	7	8	9
1	8	5	0	1	4	0	0	0	2
2	16	4	2	0	5	0	0	2	0
3	7	16	4	0	3	0	0	3	0
4	16	2	3	5	0	4	0	0	0
5	6	4	2	2	0	0	0	2	0
6	3	2	1	0	0	0	7	0	0
7	4	2	0	3	0	3	0	0	0
8	14	2	5	0	0	1	6	0	0
9	2	1	1	0	0	0	0	0	0
10	16	19	1	0	5	0	0	11	0
11	20	0	0	0	0	0	0	3	23
12	18	3	0	0	3	1	0	0	1
13	10	0	9	2	0	0	1	0	0
14	2	3	0	2	0	0	0	0	0
15	10	2	1	1	1	0	0	0	2
16	1	5	0	4	0	2	0	0	0
17	3	10	2	0	0	0	0	2	0
18	3	15	3	1	0	0	0	10	0
19	12	35	5	4	8	0	0	22	0
20	10	8	3	0	13	0	0	0	0
21	19	10	0	1	0	0	1	0	0
22	6	2	0	3	27	0	0	0	0
23	11	11	7	0	6	0	2	0	0
24	12	7	11	6	0	9	0	0	0
25	6	9	6	0	6	0	0	1	0
26	9	7	1	2	1	0	0	5	0
27	4	5	13	4	0	0	6	0	0
28	7	9	3	3	0	6	0	0	0
29	10	5	12	1	0	0	0	0	0
30	8	3	1	1	0	0	3	0	2
31	17	1	2	0	0	0	0	1	3
32	15	0	2	2	0	1	0	0	0
33	12	4	0	0	2	0	0	2	0
34	15	4	0	9	0	8	0	0	0
35	21	3	1	0	0	5	0	0	12
36	6	3	0	0	2	0	0	5	0
37	16	3	1	0	0	0	5	4	0
38	4	7	0	1	0	0	0	7	0
39	21	6	6	1	0	0	4	0	0
40	16	0	1	1	17	0	0	0	0
41	5	16	1	1	0	3	0	1	0
42	4	12	0	4	0	0	0	8	0
43	9	5	1	26	0	15	0	0	0
44	8	3	1	2	0	0	0	0	3
45	18	11	1	0	1	0	1	0	0
46	11	2	5	0	0	4	0	0	5
47	8	3	0	2	0	9	0	0	0
48	4	0	17	0	0	4	10	0	0
49	1	2	3	5	0	3	0	0	0
50	8	11	0	7	0	4	0	0	0
51	14	7	15	1	0	0	18	0	0
52	12	0	0	0	0	1	0	1	1
53	9	3	0	1	3	0	0	0	0
54	16	5	5	0	5	0	0	2	0
55	5	5	0	7	0	5	0	0	0
56	8	8	24	0	1	0	16	0	0
57	1	2	0	1	29	0	0	0	0
58	14	3	1	1	1	3	0	0	0
59	14	3	3	2	0	4	0	0	4
60	9	5	3	3	0	0	0	0	0
61	2	13	2	0	0	0	0	4	0
62	9	1	0	2	1	2	0	0	0
63	7	1	5	0	2	2	13	0	0
64	6	5	10	0	0	1	1	0	0
65	14	1	3	9	18	0	0	0	0
66	17	4	0	7	6	0	0	0	5
67	18	2	1	2	15	0	0	0	0
68	11	12	0	0	0	0	4	1	0
69	10	4	11	3	0	0	2	0	0
70	14	1	0	6	11	0	0	0	0
71	10	5	0	5	0	3	0	0	0
72	15	5	0	3	2	0	0	0	0
73	4	2	2	0	0	0	2	0	0
74	15	0	11	3	0	8	0	0	0
75	10	2	8	0	1	2	5	0	0
76	8	24	5	0	5	0	0	19	0
77	7	2	2	2	12	0	0	0	0
78	11	8	7	0	5	0	0	2	0
79	4	5	0	0	4	0	0	2	0
80	13	2	0	1	0	0	0	1	4
81	8	28	3	4	0	0	0	14	0
82	14	2	18	0	8	0	8	0	0
83	15	1	0	3	4	0	0	0	0
84	3	5	0	3	0	1	0	0	0
85	7	3	2	0	0	0	7	0	0
86	13	4	13	0	0	0	17	0	0
87	10	7	7	2	1	0	0	3	0
88	7	0	0	9	26	0	0	0	0
89	14	1	4	4	4	0	0	0	0
90	9	3	19	0	0	0	13	0	0
91	6	9	1	0	0	7	0	0	0
92	7	9	1	6	0	0	0	0	0
93	8	2	31	0	0	4	20	0	0
94	22	1	0	0	0	0	1	0	4
95	23	0	6	0	0	3	0	0	0
96	21	0	0	0	0	0	0	1	6
97	19	4	0	0	0	0	0	0	5
98	10	1	0	0	0	0	0	1	0
99	8	0	3	0	0	0	0	0	1
100	3	4	8	6	0	6	0	0	0
101	25	2	13	1	0	0	2	0	0
102	8	4	0	4	0	4	0	0	0
103	8	9	1	14	0	8	0	0	0
104	30	4	6	0	1	0	0	0	26
105	10	14	4	0	2	0	0	21	0
106	8	2	3	0	0	0	0	0	0
107	4	13	2	0	1	0	0	16	0
108	6	0	0	0	1	0	0	0	1
109	16	14	2	2	0	0	1	0	8
110	5	3	0	4	0	7	0	0	0
111	2	3	0	0	3	0	0	0	0
112	13	4	3	3	0	0	1	0	8
113	19	1	0	0	1	0	0	1	0
114	6	21	1	9	0	10	0	0	0
115	11	1	1	0	13	0	0	0	0
116	8	4	5	7	0	6	0	0	0
117	22	0	0	1	0	0	2	0	1
118	37	5	1	4	6	0	0	0	32
119	0	7	12	2	0	0	5	0	0
120	15	1	3	7	0	0	0	0	6
121	13	1	0	0	15	0	0	0	0
122	6	2	0	0	14	0	0	0	0
123	21	4	2	1	1	0	0	0	3
124	23	1	0	0	0	0	2	1	10
125	14	1	0	0	0	0	4	0	0
126	8	2	0	0	0	0	0	0	0
127	7	4	0	0	3	0	0	0	0
128	2	3	1	0	17	0	0	0	0
129	11	7	4	1	7	0	0	0	0
130	11	1	2	1	0	2	0	0	0
131	13	1	4	2	0	0	0	1	3
132	14	0	0	1	0	0	2	0	2
133	18	3	2	0	0	0	0	0	3
134	3	3	0	1	14	0	0	0	0
135	16	0	2	0	0	7	0	0	2
136	22	5	5	4	0	6	0	0	0
137	19	2	5	0	0	4	8	0	0
138	10	3	0	0	0	0	0	0	4
139	3	11	5	0	4	0	0	6	0
140	18	7	0	3	0	0	0	4	0
141	5	3	10	0	0	0	7	0	0
142	11	1	2	0	0	2	0	0	1
143	10	8	1	3	2	1	0	0	0
144	14	5	0	0	0	0	3	0	0
145	9	10	6	2	0	0	2	0	0
146	6	12	15	0	1	0	8	0	0
147	23	2	0	0	2	0	0	0	12
148	4	2	0	0	0	0	1	0	0
149	9	1	0	0	1	0	0	1	0
150	9	4	2	21	0	21	0	0	0
151	7	8	0	0	4	0	0	0	0
152	18	2	2	3	0	0	0	3	6
153	15	3	0	0	0	0	2	2	3
154	14	3	5	4	25	0	0	0	0
155	6	6	6	2	0	0	10	0	0
156	13	3	23	10	0	0	5	0	0
157	14	2	8	2	0	0	7	0	0
158	13	11	0	3	0	1	0	5	0
159	7	4	18	0	3	0	8	0	0
160	25	9	0	5	13	1	0	0	0
161	11	1	1	1	5	0	0	0	0
162	7	12	5	0	4	0	0	4	0
163	9	7	18	2	0	0	5	0	0
164	7	2	0	8	0	7	0	0	0
165	2	8	0	0	0	3	0	1	0
166	2	3	0	1	0	0	0	0	0
167	12	11	0	0	0	3	0	1	0
168	17	1	0	7	1	0	0	0	0
169	17	11	0	0	0	5	4	8	0
170	9	2	1	4	2	1	0	0	0
171	6	1	0	0	0	0	0	0	2
172	26	7	5	1	0	7	0	0	2
173	11	14	0	0	2	0	1	4	0
174	4	1	3	2	0	0	0	0	1
175	10	4	0	14	0	2	0	0	0
176	7	7	3	7	0	0	0	3	0
177	7	2	2	4	3	2	0	0	0
178	3	8	2	10	0	3	0	0	0
179	6	13	1	0	0	3	0	6	0
180	8	4	7	1	0	0	5	0	0
181	8	3	0	1	0	0	0	0	0
182	9	1	12	0	0	0	5	0	0
183	12	4	0	17	0	12	0	0	0
184	4	2	7	0	0	0	4	0	0
185	10	0	0	2	0	10	0	0	0
186	2	11	0	0	1	0	0	18	0
187	3	10	3	0	0	3	0	4	0
188	9	10	10	0	2	0	3	0	0
189	8	2	1	0	2	0	0	0	1
190	4	3	2	2	13	0	0	0	0
191	5	1	1	0	0	0	0	0	0
192	21	11	0	0	1	0	6	3	0
193	4	9	0	12	0	17	0	0	0
194	16	2	1	0	1	0	0	0	4
195	3	10	2	4	0	0	0	3	0
196	21	2	1	2	0	0	0	0	2
197	3	3	7	1	13	0	0	0	0
198	5	4	7	0	0	0	7	0	0
199	11	5	4	0	8	0	0	1	0
200	9	9	5	0	0	1	0	0	0
201	9	2	2	4	0	1	0	0	0
202	3	7	7	10	0	17	0	0	0
203	9	0	3	1	0	0	0	0	3
204	20	0	0	3	0	0	0	1	3
205	6	14	4	0	0	0	0	0	0
206	16	1	1	0	0	0	0	1	2
207	7	6	0	5	27	0	0	0	0
208	26	3	3	2	3	0	0	0	10
209	4	7	2	0	1	0	0	1	0
210	11	4	0	13	1	11	0	0	0
211	4	0	2	14	0	6	0	0	0
212	13	1	1	1	3	0	0	0	3
213	9	4	3	0	0	0	0	0	5
214	3	1	1	9	1	7	0	0	0
215	5	5	0	0	2	0	3	2	0
216	14	4	0	1	0	0	0	1	0
217	6	14	1	0	0	6	0	1	0
218	7	8	1	1	0	2	1	0	0
219	11	2	1	1	3	0	0	0	0
220	8	2	6	1	0	0	3	0	0
221	2	1	4	0	0	0	1	0	0
222	3	0	0	7	0	2	0	0	0
223	14	8	1	1	0	0	4	0	0
224	1	0	0	5	0	12	0	0	0
225	9	29	1	3	0	0	4	26	0
226	10	6	1	6	0	0	2	0	0
227	15	10	0	12	0	2	0	0	0
228	8	4	1	4	0	0	0	0	0
229	37	2	0	2	0	0	0	0	12
230	14	2	2	0	0	0	0	0	9
231	5	7	2	13	7	4	0	0	0
232	7	5	0	0	2	0	1	0	0
233	6	3	0	1	0	0	0	1	0
234	8	1	21	0	0	0	16	0	0
235	3	3	2	0	2	0	0	3	0
236	3	3	2	0	0	0	2	0	0
237	6	9	2	2	0	0	0	3	0
238	9	1	7	0	1	0	13	0	0
239	6	1	0	1	1	1	2	0	0
240	7	6	1	0	0	6	0	3	0
241	8	0	7	0	0	4	8	0	0
242	7	7	3	1	0	0	0	0	0
243	9	3	3	0	0	0	0	0	0
244	16	1	1	0	0	0	0	8	1
245	8	3	10	0	0	0	5	0	0
246	3	6	1	0	0	0	0	4	0
247	14	0	0	13	0	8	0	0	0
248	13	0	1	3	12	0	0	0	0
249	5	2	17	0	0	1	17	0	0
250	9	8	1	1	0	0	0	4	0
251	9	1	4	0	0	0	9	0	0
252	3	1	8	4	0	0	3	0	0
253	12	2	0	0	0	0	2	0	5
254	6	10	7	0	0	0	1	0	0
255	9	0	1	19	1	13	0	0	0
256	21	2	0	1	0	0	0	6	3
257	10	16	1	0	0	2	0	13	0
258	12	3	0	3	0	0	0	1	6
259	1	6	3	0	3	0	1	0	0
260	3	7	1	1	0	0	0	3	0
261	6	4	2	1	0	0	1	0	0
262	5	14	0	16	0	2	0	0	0
263	22	2	3	2	14	0	0	0	0
264	2	17	2	2	0	0	0	7	0
265	10	2	0	1	1	0	1	0	0
266	16	4	12	0	0	0	12	0	0
267	16	8	9	0	2	0	5	0	0
268	6	1	3	2	0	1	0	0	0
269	4	6	1	13	0	1	0	0	0
270	10	12	5	0	0	0	0	4	0
271	17	22	7	18	0	0	0	11	0
272	15	5	4	4	22	0	0	0	0
273	32	6	0	0	0	0	0	0	11
274	9	6	7	2	0	0	3	0	0
275	6	1	1	0	0	0	4	0	0
276	10	6	15	0	0	2	6	0	0
277	5	1	7	0	0	0	1	0	0
278	7	4	15	3	0	0	4	0	0
279	5	9	7	1	4	0	5	0	0
280	5	2	0	0	0	0	1	0	0
281	5	15	4	2	1	0	0	7	0
282	3	0	1	0	0	0	0	0	0
283	21	12	3	0	0	0	0	13	0
284	15	1	3	11	1	2	0	0	0
285	1	3	0	0	17	0	0	0	0
286	6	4	0	17	0	19	0	0	0
287	5	1	5	1	0	0	0	3	0
288	5	7	5	0	3	0	7	0	0
289	2	16	11	0	8	0	0	6	0
290	5	2	6	1	0	4	0	0	0
291	4	5	3	0	6	0	0	0	0
292	14	19	0	1	0	0	1	6	0
293	4	6	2	0	8	0	0	0	0
294	7	1	6	17	0	23	0	0	0
295	7	5	1	2	0	0	0	3	0
296	3	4	0	3	0	4	0	0	0
297	3	5	0	17	0	15	0	0	0
298	5	3	0	3	15	0	0	0	0
299	12	2	0	4	3	4	0	0	0
300	11	3	2	6	7	0	0	0	2
301	11	7	3	0	0	1	10	0	0
302	10	3	2	9	0	2	0	0	0
303	4	2	3	2	0	0	1	1	0
304	9	2	3	2	1	0	0	0	2
305	15	0	0	24	3	30	0	0	0
306	6	8	0	0	0	3	0	4	0
307	13	11	0	1	3	0	1	0	0
308	3	2	3	0	0	0	1	0	0
309	22	2	0	1	0	0	2	1	0
310	3	2	2	3	0	2	0	0	0
311	11	18	1	2	0	0	0	4	0
312	6	0	0	0	9	0	0	0	0
313	13	3	0	0	1	0	0	0	3
314	22	1	3	0	1	2	0	0	16
315	7	6	0	0	0	0	0	0	1
316	12	7	5	0	0	1	8	0	0
317	21	13	0	1	0	0	5	10	0
318	11	14	5	0	21	0	0	0	0
319	10	16	1	0	0	0	1	2	0
320	17	7	1	5	0	6	0	0	0
321	4	0	0	5	1	2	0	0	0
322	8	4	11	4	0	0	1	0	0
323	13	2	0	8	5	0	0	0	1
324	11	7	0	7	0	0	0	3	0
325	6	2	7	0	2	0	7	0	0
326	5	8	0	4	0	5	0	0	0
327	10	8	2	0	0	2	3	0	0
328	7	2	0	1	0	0	0	0	0
329	5	19	10	1	7	0	0	0	0
330	6	1	2	8	0	4	0	0	0
331	8	5	0	0	0	0	0	7	0
332	6	20	5	0	2	0	0	5	0
333	11	2	6	0	0	1	0	0	0
334	1	4	0	2	0	1	0	0	0
335	9	1	4	1	5	7	0	0	0
336	11	2	19	0	0	0	12	0	0
337	9	0	15	7	0	2	0	0	0
338	15	9	1	0	1	0	0	5	0
339	20	1	0	1	0	1	0	0	10
340	31	1	2	0	0	2	0	2	8
341	17	1	0	6	2	3	0	0	0
342	10	1	14	1	2	0	9	0	0
343	18	0	0	0	0	0	0	6	2
344	7	1	0	2	5	0	0	0	0
345	14	0	0	0	2	0	0	1	6
346	12	2	6	0	0	5	2	0	0
347	18	3	3	0	0	0	3	0	0
348	6	6	30	0	1	2	37	0	0
349	6	1	1	4	3	0	0	0	0
350	7	10	0	1	0	0	0	16	0
351	2	6	1	0	0	2	0	1	0
352	17	4	6	8	3	0	0	0	0
353	10	0	1	0	2	0	0	0	1
354	9	0	0	5	1	0	0	0	0
355	8	4	11	4	0	0	1	0	0
356	12	13	1	1	0	0	2	13	0
357	4	4	12	0	0	0	11	0	0
358	9	2	2	0	0	0	0	0	3
359	11	3	2	9	0	6	0	0	0
360	8	4	0	0	0	2	0	0	5
361	14	7	30	4	0	0	11	0	0
362	3	1	0	1	0	1	0	0	0
363	5	3	1	2	0	3	0	0	0
364	15	0	1	0	9	0	0	0	0
365	13	5	1	10	0	7	0	0	0
366	16	0	3	2	8	0	0	0	3
367	13	2	1	1	0	0	8	0	0
368	7	6	3	17	0	5	0	0	0
369	14	1	0	4	0	0	0	0	4
370	10	6	2	3	0	2	0	0	0
371	6	14	0	0	2	0	0	8	0
372	1	14	0	0	0	0	0	6	0
373	3	6	5	1	24	0	0	0	0
374	13	6	8	6	0	0	4	0	0
375	8	11	0	17	0	9	0	0	0
376	12	5	3	7	0	5	0	0	0
377	13	5	4	0	12	0	0	0	0
378	8	5	1	1	0	0	0	0	0
379	7	12	1	0	0	0	1	7	0
380	5	2	2	7	0	16	0	0	0
381	4	3	6	8	0	14	0	0	0
382	11	6	10	0	0	0	5	0	0
383	11	17	1	0	0	5	0	5	0
384	10	2	6	0	0	0	3	0	0
385	13	5	0	18	1	9	0	0	0
386	7	3	1	3	0	4	0	0	0
387	23	4	1	0	1	0	0	0	7
388	3	14	5	2	0	0	0	8	0
389	1	6	0	0	2	0	0	2	0
390	8	1	7	4	0	0	0	0	0
391	12	3	2	0	0	5	1	0	0
392	13	6	4	6	0	6	0	0	0
393	16	0	0	0	0	0	1	4	6
394	13	1	3	6	5	2	0	0	0
395	0	2	13	5	0	0	1	0	0
396	12	0	10	0	0	4	10	0	0
397	11	0	0	2	2	1	0	0	0
398	5	5	9	1	0	1	6	0	0
399	6	2	0	1	0	1	0	0	5
400	20	4	0	1	0	0	1	3	0
401	19	0	4	9	3	2	0	0	0
402	14	1	1	0	1	0	0	0	4
403	24	1	3	0	0	1	1	0	16
404	12	0	0	1	0	0	0	1	0
405	9	2	2	0	0	0	0	2	0
406	3	3	1	3	1	3	0	0	0
407	16	5	1	0	2	4	0	0	7
408	4	38	6	0	2	0	0	18	0
409	5	1	1	1	0	0	0	0	1
410	6	12	2	1	0	0	0	0	0
411	9	10	0	0	0	1	0	1	0
412	1	0	5	3	0	0	1	0	0
413	7	12	1	1	2	9	0	0	0
414	12	5	5	9	0	0	1	0	0
415	5	7	2	2	0	2	0	0	0
416	3	12	0	1	0	1	0	5	0
417	13	8	4	3	0	1	0	0	0
418	17	3	2	3	2	0	0	0	4
419	15	0	1	3	0	0	0	5	1
420	7	5	0	7	0	0	0	0	0
421	37	0	3	0	2	2	0	0	24
422	8	4	13	1	2	0	7	0	0
423	3	7	0	7	0	2	0	0	0
424	10	1	6	0	18	0	0	0	0
425	9	6	5	0	1	0	2	0	0
426	24	0	1	6	10	0	0	0	0
427	4	1	3	0	0	0	2	0	0
428	1	1	1	1	16	0	0	0	0
429	19	4	6	1	0	0	3	0	4
430	5	6	3	0	0	0	2	0	1
431	7	3	1	2	0	0	0	0	0
432	6	4	13	0	0	0	5	0	0
433	14	4	1	10	3	11	0	0	0
434	0	0	0	6	0	3	0	0	0
435	18	2	0	2	1	0	0	0	1
436	11	7	1	8	3	8	0	0	0
437	5	10	2	7	0	11	0	0	0
438	7	0	2	0	0	0	2	0	0
439	3	1	11	6	0	0	1	0	0
440	8	11	1	2	0	1	0	5	0
441	5	0	3	0	4	0	0	0	0
442	5	0	1	8	0	11	0	0	0
443	5	9	0	4	0	10	0	0	0
444	1	3	7	1	0	0	10	0	0
445	8	2	2	2	3	1	0	0	0
446	12	3	0	3	11	0	0	0	0
447	17	2	0	31	1	32	0	0	0
448	3	5	6	0	14	0	0	0	0
449	10	6	0	0	0	0	3	1	0
450	14	4	0	0	1	3	0	1	0
451	9	7	4	2	0	0	4	6	0
452	9	8	0	0	0	4	0	1	0
453	12	3	2	4	0	1	0	0	0
454	14	10	0	0	1	0	0	5	0
455	9	6	10	5	10	0	0	0	0
456	10	11	12	0	2	0	7	0	0
457	16	3	4	0	0	0	0	0	3
458	14	1	7	0	1	0	0	0	0
459	21	0	4	2	1	0	0	0	4
460	14	1	0	0	0	0	0	0	1
461	5	0	0	1	0	0	0	0	1
462	8	3	0	2	0	0	0	0	5
463	13	0	0	2	0	0	0	0	2
464	23	2	5	3	0	0	0	0	8
465	4	7	1	0	5	0	0	2	0
466	12	5	8	5	0	4	0	0	0
467	4	3	2	3	0	3	0	0	0
468	5	4	0	5	33	0	0	0	0
469	13	6	1	1	0	0	4	8	0
470	22	1	0	0	1	2	0	2	1
471	6	2	0	3	4	5	0	0	0
472	5	8	0	0	0	0	4	1	0
473	6	4	14	1	3	0	4	0	0
474	14	3	3	0	0	3	2	0	0
475	4	6	5	0	0	0	15	0	0
476	22	3	8	10	7	7	0	0	0
477	3	8	0	1	1	0	0	5	0
478	16	7	3	12	4	0	0	0	0
479	5	1	8	0	1	5	1	0	0
480	8	4	1	1	0	0	3	0	5
481	5	0	2	1	1	0	0	0	0
482	8	4	9	0	0	0	3	0	0
483	6	0	1	0	0	0	1	2	0
484	30	12	0	0	3	0	2	0	13
485	14	2	1	3	0	0	0	0	0
486	7	12	0	0	1	1	0	0	0
487	3	8	7	4	0	0	5	0	0
488	25	7	0	1	5	0	0	0	19
489	2	3	5	1	0	0	7	0	0
490	11	3	4	7	0	5	0	0	0
491	20	25	3	2	0	0	0	22	0
492	11	3	1	11	0	5	0	0	0
493	5	2	1	0	7	0	0	0	0
494	11	0	1	8	18	0	0	0	3
495	17	8	1	2	0	6	0	0	3
496	9	5	6	0	0	0	5	0	0
497	11	29	0	0	2	0	3	20	0
498	9	2	3	0	0	1	0	0	5
499	2	11	0	1	0	1	0	0	0
500	7	4	0	5	15	0	0	0	0
501	8	7	9	3	33	0	0	0	0
502	8	1	3	3	0	6	0	0	0
503	10	11	4	0	4	0	0	0	0
504	4	3	5	2	0	0	1	0	0
505	11	9	0	19	0	2	0	0	0
506	7	7	0	2	2	1	0	0	0
507	14	2	0	0	3	0	1	0	7
508	16	8	1	0	1	0	0	0	0
509	12	0	10	0	2	2	0	0	0
510	9	2	5	2	4	0	0	0	0
511	7	3	6	4	0	0	0	0	0
512	7	9	8	0	4	0	9	0	0
513	10	2	6	1	1	5	0	0	0
514	19	4	4	16	1	17	0	0	0
515	11	2	0	3	2	0	0	0	6
516	18	4	4	0	0	0	1	2	0
517	9	3	1	0	5	0	2	0	0
518	9	4	3	9	0	5	0	0	0
519	8	7	5	10	0	0	0	8	0
520	24	2	1	0	0	0	0	0	18
521	18	7	0	0	0	0	1	3	0
522	4	4	3	2	0	2	0	0	0
523	8	1	5	8	0	13	0	0	0
524	18	5	0	3	1	0	0	0	0
525	11	1	0	8	0	15	0	0	0
526	4	6	0	2	0	0	0	3	0
527	16	1	1	1	0	0	0	2	0
528	4	14	1	0	0	0	0	13	0
529	19	2	0	0	0	0	0	3	0
530	19	0	1	0	0	4	0	0	11
531	18	7	6	4	0	0	0	0	17
532	8	3	4	0	0	0	5	0	0
533	27	1	5	3	0	0	0	0	7
534	4	6	0	1	0	0	0	1	0
535	15	3	0	4	0	9	0	0	0
536	7	23	0	0	0	4	0	5	0
537	10	8	0	1	0	0	4	0	0
538	9	7	7	26	0	26	0	0	0
539	7	1	1	2	0	0	0	0	0
540	4	3	1	1	13	0	0	0	0
541	9	3	1	2	0	7	0	0	0
542	18	1	0	1	2	4	0	0	4
543	12	2	12	4	1	0	13	0	0
544	5	10	0	3	0	0	0	4	0
545	7	5	12	0	0	0	1	0	0
546	7	1	1	7	4	7	0	0	0
547	18	4	6	11	0	26	0	0	0
548	4	9	1	18	0	16	0	0	0
549	15	5	0	0	0	0	0	8	0
550	9	0	2	9	0	5	0	0	0
551	8	1	0	1	3	1	0	0	0
552	21	2	4	1	1	6	0	0	3
553	10	5	13	0	0	0	8	0	0
554	8	7	1	0	0	0	0	0	0
555	3	8	0	0	0	1	0	5	0
556	10	2	0	1	3	0	0	0	0
557	1	3	1	5	0	0	0	0	0
558	3	3	1	26	0	21	0	0	0
559	10	2	0	0	0	1	2	0	0
560	4	6	0	9	0	1	0	0	0
561	2	3	0	12	0	16	0	0	0
562	13	8	3	0	0	0	0	1	0
563	25	4	5	1	0	0	0	0	10
564	2	0	0	3	3	0	0	0	0
565	10	6	19	1	0	0	7	0	0
566	12	2	6	5	0	1	0	0	0
567	9	3	0	0	2	0	0	0	1
