	1	2	3	4	5	6	7	8	9
1	2	0	0	0	0	0	0	0	0
2	3	0	0	4	0	3	0	0	0
3	8	1	0	0	0	0	0	0	3
4	8	3	0	0	0	0	0	0	0
5	7	10	0	0	0	0	0	3	0
6	7	1	0	0	2	1	0	0	0
7	1	1	4	0	0	0	3	0	0
8	2	0	1	0	1	0	2	0	0
9	5	1	0	0	0	0	0	1	2
10	0	0	0	3	0	1	0	0	0
11	2	5	0	0	0	0	0	2	0
12	6	2	1	0	0	0	0	0	0
13	2	0	3	2	0	1	0	0	0
14	1	1	0	0	0	2	0	0	3
15	2	0	1	0	0	0	0	0	0
16	2	4	3	0	0	0	0	2	0
17	4	1	1	0	0	0	0	0	0
18	1	0	0	4	0	0	0	0	0
19	2	0	2	0	0	0	0	0	0
20	1	0	1	0	0	0	0	0	0
21	5	0	0	0	0	2	0	0	3
22	2	4	0	1	0	0	0	0	0
23	2	3	0	0	0	2	0	0	0
24	1	0	3	3	0	0	0	0	0
25	1	2	1	0	2	0	0	0	0
26	7	1	0	0	0	0	0	0	0
27	1	1	0	0	0	0	0	0	0
28	0	4	0	0	0	0	0	0	0
29	1	1	0	0	0	0	1	1	0
30	5	0	0	0	0	1	0	0	0
31	3	3	0	1	0	0	0	2	0
32	5	10	2	0	0	0	0	5	0
33	7	0	6	3	0	4	0	0	0
34	1	3	2	0	0	1	1	0	0
35	6	3	0	0	0	1	0	1	1
36	5	0	1	0	0	2	0	0	0
37	1	1	2	1	0	0	0	0	0
38	1	1	2	0	0	0	0	0	0
39	2	0	2	3	0	0	0	0	0
40	5	0	0	0	1	0	0	0	1
41	1	3	0	1	0	0	0	1	0
42	2	0	0	0	2	0	0	0	0
43	0	0	0	1	0	1	0	0	0
44	4	1	0	0	7	0	0	0	0
45	0	1	1	0	1	0	0	0	0
46	3	0	0	3	0	1	0	0	0
47	1	2	1	0	0	0	0	0	0
48	0	0	0	0	6	0	0	0	0
49	1	2	3	1	0	0	2	0	0
50	5	0	3	0	0	0	0	0	0
51	2	1	0	0	0	0	0	0	2
52	2	0	0	0	0	0	0	0	4
53	2	0	4	0	1	0	1	0	0
54	2	3	1	0	0	0	1	0	0
55	7	1	2	1	0	0	0	0	0
56	5	0	0	0	0	1	0	0	2
57	6	0	0	0	0	0	0	0	2
58	2	0	0	1	0	0	0	0	0
59	2	0	0	3	0	1	0	0	0
60	1	0	1	0	0	0	0	0	0
61	4	0	2	1	0	0	0	0	0
